iter	RMSE
0	1.572942576
1	1.562313035
2	1.552472515
3	1.543483835
4	1.535204145
5	1.527772882
6	1.520873626
7	1.514577521
8	1.508955779
9	1.503850102
10	1.499076164
11	1.494735724
12	1.490945662
13	1.487355172
14	1.484252598
15	1.481269878
16	1.478627933
17	1.476190531
18	1.473995981
19	1.471961487
20	1.470119926
21	1.468354908
22	1.466804693
23	1.465359525
24	1.46407766
25	1.46286864
26	1.461738461
27	1.460731949
28	1.459878626
29	1.459085407
30	1.458319053
31	1.457615526
32	1.456971131
33	1.456419012
34	1.455909292
35	1.455428126
36	1.454974115
37	1.454551605
38	1.454195069
39	1.453881804
40	1.453542805
41	1.453261637
42	1.453038151
43	1.452793118
44	1.452559071
45	1.452363986
46	1.452172151
47	1.452025405
48	1.451835664
49	1.45166224
50	1.451518198
51	1.451391692
52	1.451278685
53	1.451166672
54	1.451052477
55	1.450952003
56	1.450844549
57	1.450755719
58	1.450650319
59	1.450577593
60	1.450507724
61	1.450433834
62	1.450378631
63	1.450305507
64	1.450252295
65	1.450200876
66	1.450156941
67	1.450134884
68	1.450060889
69	1.450005472
70	1.449953528
71	1.449908772
72	1.449873135
73	1.449830799
74	1.449795929
75	1.449750987
76	1.449700068
77	1.44965957
78	1.449628007
79	1.449585963
80	1.449553638
81	1.449517115
82	1.449469293
83	1.449431499
84	1.449413966
85	1.449375132
86	1.449358948
87	1.449349752
88	1.449316057
89	1.449282373
90	1.44925613
91	1.449244271
92	1.449222632
93	1.449192805
94	1.449178976
95	1.449154511
96	1.449122535
97	1.449085905
98	1.449055862
99	1.449020254
100	1.448998271
101	1.448972927
102	1.448952484
103	1.448950875
104	1.448944406
105	1.448930158
106	1.448913205
107	1.44888119
108	1.448871264
109	1.448826814
110	1.448809433
111	1.44878363
112	1.448759631
113	1.448737268
114	1.448728384
115	1.448700374
116	1.448667969
117	1.448648658
118	1.4486305
119	1.4485968
120	1.448576909
121	1.448568778
122	1.448549504
123	1.448512158
124	1.448489519
125	1.448462606
126	1.448446669
127	1.448425383
128	1.44841433
129	1.448409223
130	1.448390743
131	1.448371693
132	1.448368736
133	1.448352139
134	1.448343331
135	1.448321798
136	1.448305865
137	1.448300747
138	1.448279004
139	1.448265787
140	1.448250483
141	1.448228199
142	1.448216732
143	1.448187774
144	1.448165322
145	1.448147264
146	1.448132837
147	1.448108547
148	1.448075988
149	1.448069014
150	1.448051218
151	1.448050711
152	1.448040943
153	1.448030941
154	1.4480205
155	1.448012606
156	1.448008516
157	1.447996551
158	1.447990294
159	1.447986613
