iter	Passed	Remaining
0	56	28247
1	110	27617
2	166	27553
3	221	27481
4	320	31720
5	387	31891
6	465	32775
7	525	32330
8	581	31700
9	638	31268
10	688	30597
11	748	30423
12	802	30056
13	857	29764
14	912	29489
15	968	29291
16	1028	29210
17	1199	32108
18	1260	31922
19	1327	31870
20	1411	32200
21	1486	32298
22	1549	32138
23	1603	31795
24	1655	31456
25	1713	31231
26	1776	31128
27	1848	31163
28	1917	31141
29	1984	31086
30	2065	31248
31	2137	31267
32	2205	31212
33	2280	31251
34	2344	31147
35	2405	31010
36	2471	30928
37	2540	30888
38	2626	31042
39	2693	30979
40	2751	30798
41	2815	30704
42	2878	30589
43	2946	30531
44	3007	30413
45	3080	30405
46	3145	30320
47	3211	30243
48	3270	30099
49	3331	29983
50	3389	29841
51	3446	29691
52	3508	29586
53	3563	29431
54	3625	29331
55	3672	29115
56	3727	28973
57	3778	28795
58	3831	28636
59	3879	28451
60	3940	28361
61	4011	28335
62	4079	28298
63	4159	28333
64	4225	28275
65	4290	28213
66	4362	28191
67	4396	27930
68	4473	27943
69	4538	27876
70	4618	27904
71	4687	27864
72	4743	27746
73	4800	27635
74	4853	27501
75	4897	27321
76	4952	27205
77	5008	27099
78	5060	26967
79	5115	26858
80	5167	26730
81	5232	26670
82	5284	26551
83	5342	26457
84	5389	26312
85	5445	26214
86	5503	26127
87	5543	25953
88	5603	25878
89	5664	25804
90	5727	25740
91	5779	25629
92	5841	25564
93	5898	25474
94	5954	25386
95	6010	25293
96	6071	25222
97	6126	25129
98	6181	25038
99	6233	24934
100	6300	24888
101	6357	24806
102	6422	24753
103	6442	24531
104	6481	24383
105	6546	24334
106	6607	24269
107	6676	24233
108	6768	24279
109	6831	24222
110	6880	24111
111	6932	24016
112	6990	23940
113	7042	23846
114	7098	23764
115	7170	23736
116	7226	23657
117	7290	23602
118	7349	23530
119	7427	23521
120	7502	23498
121	7569	23453
122	7628	23382
123	7687	23311
124	7742	23228
125	7803	23161
126	7862	23090
127	7915	23004
128	7967	22914
129	8011	22803
130	8067	22725
131	8125	22652
132	8155	22503
133	8211	22427
134	8267	22352
135	8323	22278
136	8390	22231
137	8443	22147
138	8515	22116
139	8588	22085
140	8662	22055
141	8730	22010
142	8783	21928
143	8841	21858
144	8891	21767
145	8946	21691
146	8998	21607
147	9049	21524
148	9100	21438
149	9146	21342
150	9198	21260
151	9223	21117
152	9269	21022
153	9317	20934
154	9368	20852
155	9427	20789
156	9468	20685
157	9532	20633
158	9590	20569
159	9646	20498
