iter	Logloss
0	0.6338284024
1	0.588105274
2	0.5390864302
3	0.4976975431
4	0.4670313868
5	0.4436628132
6	0.4234152497
7	0.4089460168
8	0.396903905
9	0.3870656129
10	0.3801363356
11	0.3742631341
12	0.3697319078
13	0.3655117143
14	0.3626790448
15	0.3599105614
16	0.3579782106
17	0.3560406209
18	0.3547181923
19	0.3532844593
20	0.3518575082
21	0.351035531
22	0.3503835611
23	0.3497785206
24	0.3490226495
25	0.3485088645
26	0.3478223596
27	0.3473858743
28	0.3470601108
29	0.3466332169
30	0.3461633856
31	0.345791699
32	0.3455249864
33	0.3453029423
34	0.3451063875
35	0.3449555667
36	0.3448016113
37	0.3445593732
38	0.3443363989
39	0.3440875028
40	0.3438275916
41	0.3437285089
42	0.3434503539
43	0.3433010659
44	0.3431247289
45	0.3429986442
46	0.342851383
47	0.3427494966
48	0.342562824
49	0.3424237865
50	0.3423232466
51	0.34220005
52	0.3421240821
53	0.3419814181
54	0.3419280854
55	0.3418185369
56	0.3417258888
57	0.341624024
58	0.3415038606
59	0.3414391787
60	0.341358986
61	0.341250004
62	0.3411832074
63	0.3411295955
64	0.3410384206
65	0.3409726019
66	0.3408718738
67	0.3407225135
68	0.3406551346
69	0.3405300408
70	0.3403944735
71	0.3403340294
72	0.3402714683
73	0.3402085239
74	0.3401062179
75	0.3400566919
76	0.3399633322
77	0.3398961933
78	0.3398654843
79	0.3397629417
80	0.3396802784
81	0.3395353998
82	0.3395006217
83	0.3394474366
84	0.3393841442
85	0.3393367208
86	0.3392788133
87	0.3392301873
88	0.3392073204
89	0.3391568695
90	0.3390951932
91	0.3390430686
92	0.3389924045
93	0.3389407399
94	0.3388342731
95	0.3387925756
96	0.3387348743
97	0.3387112639
98	0.3386549268
99	0.3385712195
100	0.3385124678
101	0.3384958712
102	0.3384578873
103	0.338388147
104	0.3383530599
105	0.3382521757
106	0.3381737606
107	0.3381463528
108	0.3381075975
109	0.3380482511
110	0.3380282563
111	0.3379749261
112	0.3378844513
113	0.3378414739
114	0.3378183685
115	0.3377800737
116	0.3377206676
117	0.3376759693
118	0.3376623431
119	0.3375639561
120	0.3375018686
121	0.3374586321
122	0.3373977726
123	0.3373872874
124	0.3373484413
125	0.3373117714
126	0.3372718845
127	0.3372349035
128	0.3371982125
129	0.3371526121
130	0.3371256239
131	0.3370787863
132	0.3370399931
133	0.3370024392
134	0.3369622497
135	0.3368875204
136	0.3367512422
137	0.3367125723
138	0.336686925
139	0.3366009525
140	0.3365566452
141	0.3365185752
142	0.3364756414
143	0.3364384309
144	0.3364140689
145	0.3363882216
146	0.3363300184
147	0.3362599119
148	0.3362482681
149	0.3362042795
150	0.336179342
151	0.3361130728
152	0.336068167
153	0.3360391295
154	0.3359994333
155	0.3359776977
156	0.3359505935
157	0.3359411513
158	0.3358617346
159	0.3358370382
160	0.3357511158
161	0.3357319044
162	0.3356907663
163	0.3356386901
164	0.3356024228
165	0.3355826351
166	0.3355583527
167	0.3355120878
168	0.3354916036
169	0.3354671151
170	0.3354410561
171	0.3354052445
172	0.3353852717
173	0.3353623482
174	0.3353474489
175	0.3353186468
176	0.3352894312
177	0.3352647937
178	0.3351788322
179	0.3351498565
180	0.3350851005
181	0.3350575978
182	0.3349974602
183	0.3349524117
184	0.3349211124
185	0.334883274
186	0.3348404609
187	0.3347965916
188	0.3347596756
189	0.3347381408
190	0.3347251455
191	0.3346755735
192	0.3346414205
193	0.3345972893
194	0.3345720447
195	0.3345385568
196	0.3344999052
197	0.334481562
198	0.3344651935
199	0.3344208364
200	0.3343777305
201	0.3343508903
202	0.3343379583
203	0.3342959173
204	0.3342675984
205	0.334237294
206	0.3341906928
207	0.334159553
208	0.3340905449
209	0.3340606397
210	0.3340049546
211	0.3339931335
212	0.3339277659
213	0.3339071294
214	0.333889649
215	0.3338736453
216	0.3338268334
217	0.3337627579
218	0.3337296641
219	0.333695643
220	0.3336485546
221	0.333633898
222	0.333561897
223	0.3335120165
224	0.3334526535
225	0.3334124459
226	0.333368012
227	0.3333432445
228	0.333320566
229	0.3332788114
230	0.3332631616
231	0.3332373689
232	0.3332102656
233	0.3331966446
234	0.3331661667
235	0.3331145437
236	0.3330749766
237	0.3330513956
238	0.3330159173
239	0.3329483555
240	0.332920787
241	0.332910396
242	0.3328901367
243	0.3328720096
244	0.3328372974
245	0.3328152572
246	0.3328019404
247	0.3327879869
248	0.332722984
249	0.3327033779
250	0.3326882239
251	0.3326538992
252	0.3326479733
253	0.3325961059
