iter	Passed	Remaining
0	179	89539
1	310	77290
2	471	78189
3	682	84617
4	852	84367
5	1038	85541
6	1145	80699
7	1284	78998
8	1431	78097
9	1625	79644
10	1840	81826
11	1957	79610
12	2055	77017
13	2167	75233
14	2276	73618
15	2418	73174
16	2588	73535
17	2736	73274
18	2833	71744
19	2982	71586
20	3132	71459
21	3242	70455
22	3399	70497
23	3559	70590
24	3713	70552
25	3899	71084
26	4108	71982
27	4298	72462
28	4438	72090
29	4575	71677
30	4790	72474
31	4975	72759
32	5145	72813
33	5341	73215
34	5489	72927
35	5634	72626
36	5787	72424
37	5942	72242
38	6137	72544
39	6300	72457
40	6540	73222
41	6717	73247
42	6897	73302
43	7080	73376
44	7243	73238
45	7390	72936
46	7573	72993
47	7746	72945
48	7936	73046
49	8150	73356
50	8292	73003
51	8455	72849
52	8603	72561
53	8792	72618
54	8964	72532
55	9159	72617
56	9409	73132
57	9551	72792
58	9703	72530
59	9839	72156
60	10018	72099
61	10184	71949
62	10301	71457
63	10447	71175
64	10653	71293
65	10867	71464
66	11056	71453
67	11218	71273
68	11440	71463
69	11640	71507
70	11847	71584
71	12023	71470
72	12193	71324
73	12333	71001
74	12516	70927
75	12663	70650
76	12836	70518
77	12966	70152
78	13130	69973
79	13289	69770
80	13456	69606
81	13674	69707
82	13829	69478
83	13988	69278
84	14155	69112
85	14329	68982
86	14466	68674
87	14645	68565
88	14762	68173
89	14974	68215
90	15115	67938
91	15248	67622
92	15411	67448
93	15620	67468
94	15806	67385
95	15955	67144
96	16114	66949
97	16257	66689
98	16423	66525
99	16605	66422
100	16803	66382
101	16964	66194
102	17160	66144
103	17346	66049
104	17510	65872
105	17659	65640
106	17860	65599
107	18023	65417
108	18180	65214
109	18392	65210
110	18543	64985
111	18746	64942
112	18965	64953
113	19181	64946
114	19407	64973
115	19566	64770
116	19754	64668
117	19900	64424
118	20039	64158
119	20228	64055
120	20437	64015
121	20588	63789
122	20781	63695
123	20956	63545
124	21184	63552
125	21384	63475
126	21607	63461
127	21803	63366
128	21952	63135
129	22156	63062
130	22367	63003
131	22516	62773
132	22673	62566
133	22806	62292
134	22997	62177
135	23156	61976
136	23339	61840
137	23508	61666
138	23637	61388
139	23872	61385
140	24051	61237
141	24202	61016
142	24388	60886
143	24584	60779
144	24723	60529
145	24904	60386
146	25064	60189
147	25284	60137
148	25404	59845
149	25581	59691
150	25742	59497
151	25894	59284
152	26095	59183
153	26270	59023
154	26457	58888
155	26563	58576
156	26737	58412
157	26867	58155
158	27061	58036
159	27244	57893
160	27425	57745
161	27576	57536
162	27723	57317
163	27881	57123
164	28066	56982
165	28233	56807
166	28386	56603
167	28538	56398
168	28692	56196
169	28836	55976
170	29015	55826
171	29173	55632
172	29338	55454
173	29548	55360
174	29681	55123
175	29872	54991
176	30055	54846
177	30228	54683
178	30401	54518
179	30597	54396
180	30811	54303
181	30980	54131
182	31190	54029
183	31402	53929
184	31573	53759
185	31714	53540
186	31873	53350
187	32084	53246
188	32290	53133
189	32449	52944
190	32590	52724
191	32783	52589
192	32928	52378
193	33092	52198
194	33269	52036
195	33389	51788
196	33552	51606
197	33735	51455
198	33894	51268
199	34049	51073
200	34221	50907
201	34383	50724
202	34531	50521
203	34715	50372
204	34885	50201
205	35034	50001
206	35157	49764
207	35357	49637
208	35554	49503
209	35717	49324
210	35884	49149
211	36007	48915
212	36213	48795
213	36410	48660
214	36597	48512
215	36713	48271
216	36864	48076
217	37086	47974
218	37284	47839
219	37452	47667
220	37569	47428
221	37742	47263
222	37892	47068
223	38063	46899
224	38273	46779
225	38469	46639
226	38620	46446
227	38828	46321
228	39021	46178
229	39263	46091
230	39476	45970
231	39639	45790
232	39766	45568
233	39927	45387
234	40084	45201
235	40291	45071
236	40503	44947
237	40723	44829
238	40947	44716
239	41127	44554
240	41318	44405
241	41468	44209
242	41622	44021
243	41759	43813
244	41975	43688
245	42192	43564
246	42355	43384
247	42514	43200
248	42672	43015
249	42798	42798
250	42988	42645
251	43185	42499
252	43328	42300
253	43552	42181
254	43787	42070
255	43974	41913
256	44151	41746
257	44304	41556
258	44485	41393
259	44695	41257
260	44873	41091
261	45040	40914
262	45238	40766
263	45436	40617
264	45606	40443
265	45829	40316
266	45989	40133
267	46189	39984
268	46372	39822
269	46553	39656
270	46756	39509
271	46972	39374
272	47186	39235
273	47372	39073
274	47519	38879
275	47681	38697
276	47874	38541
277	48004	38334
278	48151	38141
279	48320	37966
280	48470	37775
281	48635	37597
282	48924	37514
283	49075	37324
284	49277	37174
285	49464	37011
286	49624	36829
287	49802	36660
288	49957	36473
289	50123	36296
290	50314	36136
291	50470	35951
292	50661	35791
293	50806	35599
294	50997	35439
295	51218	35299
296	51406	35136
297	51599	34976
298	51761	34795
299	51979	34652
300	52148	34477
301	52283	34278
302	52548	34165
303	52745	34006
304	52894	33818
305	53051	33634
306	53286	33499
307	53400	33288
308	53601	33132
309	53774	32958
310	53967	32797
311	54154	32631
312	54314	32449
313	54473	32268
314	54644	32092
315	54774	31894
316	54968	31732
317	55127	31550
318	55309	31382
319	55476	31205
320	55663	31039
321	55833	30864
322	55993	30683
323	56196	30526
324	56379	30358
325	56596	30207
326	56759	30028
327	56926	29851
328	57114	29685
329	57323	29530
330	57484	29350
331	57715	29205
332	57986	29080
333	58184	28917
334	58387	28758
335	58581	28593
336	58769	28425
337	58962	28260
338	59163	28098
339	59374	27940
340	59553	27768
341	59667	27565
342	59796	27370
343	59996	27207
344	60139	27019
345	60309	26843
346	60476	26665
347	60694	26510
348	60846	26325
349	61085	26179
350	61292	26018
351	61461	25841
352	61618	25659
353	61770	25476
354	61918	25290
355	62117	25126
356	62299	24954
357	62461	24775
358	62641	24602
359	62840	24438
360	63027	24268
361	63221	24101
362	63364	23914
363	63559	23747
364	63720	23567
365	63889	23391
366	64113	23234
367	64290	23060
368	64489	22894
369	64689	22728
370	64869	22555
371	65032	22376
372	65222	22207
373	65351	22016
374	65539	21846
375	65724	21675
376	65905	21502
377	66071	21324
378	66217	21140
379	66371	20959
380	66547	20785
381	66764	20623
382	66928	20445
383	67124	20277
384	67290	20099
385	67520	19941
386	67706	19769
387	67870	19591
388	68010	19406
389	68191	19233
390	68356	19055
391	68566	18890
392	68776	18725
393	69002	18564
394	69192	18392
395	69332	18208
396	69579	18052
397	69748	17875
398	69891	17691
399	70122	17530
400	70306	17357
401	70512	17189
402	70674	17011
403	70866	16839
404	71007	16656
405	71220	16489
406	71344	16302
407	71451	16111
408	71618	15934
409	71796	15760
410	71956	15581
411	72186	15418
412	72336	15238
413	72493	15059
414	72693	14889
415	72849	14709
416	73039	14537
417	73227	14365
418	73448	14198
419	73616	14022
420	73779	13844
421	73922	13663
422	74134	13494
423	74302	13318
424	74495	13146
425	74686	12973
426	74858	12797
427	75013	12619
428	75191	12444
429	75370	12269
430	75564	12097
431	75781	11928
432	75920	11747
433	76121	11576
434	76237	11391
435	76432	11219
436	76600	11043
437	76750	10864
438	76903	10685
439	77104	10514
440	77252	10335
441	77439	10161
442	77603	9985
443	77796	9812
444	77999	9640
445	78149	9462
446	78332	9287
447	78441	9104
448	78557	8922
449	78766	8751
450	78982	8581
451	79139	8404
452	79425	8240
453	79609	8066
454	79731	7885
455	79855	7705
456	79994	7526
457	80176	7352
458	80306	7173
459	80539	7003
460	80763	6832
461	80960	6659
462	81146	6484
463	81280	6306
464	81443	6130
465	81549	5949
466	81722	5774
467	81876	5598
468	82097	5426
